query,category,total_firms,firmaId,name,full_addr,street,building,zip,city,phone,email,site,delivery,facts,certificates,angebots
Druckereien,Trockenoffsetdruck,16,779816,Hauser-Druck GmbH,"Hundsberger Strasse 28, DE-73642 Welzheim",Hundsberger Strasse,28,DE-73642,Welzheim,+49 7182 7930,hauserdr@aol.com,,Regional,"Gründungsjahr: 1963, Mitarbeiteranzahl: 1 - 4",,"Druckpapiere mit offsetdruckfähiger Kunststoffoberfläche (producer), Offsetdruck (service), Offsetdruck in Fotoqualität (service), Rollenoffsetdruck (service), Trockenoffsetdruck (service), UV-Offsetdruck (service)"
Druckereien,Zeitungsdruck,121,602170,Holding Gratenau & Hesselbacher GmbH & Co. KG,"Paulstrasse 3, DE-20095 Hamburg",Paulstrasse,3,DE-20095,Hamburg,+49 40 339790,info@gratenau.com,http://www.gratenau.com,Europaweit,"Gründungsjahr: 1874, Mitarbeiteranzahl: 20 - 49",,"Altpapier (wholesaler), Fluffzellstoff (Zellulose) (distrib, wholesaler), Karton (wholesaler), Nicht-Holz-Zellstoff (Zellulose) (producer), Pappen (distrib, wholesaler), Zeitungsdruck (service), Zellstoffkarton (distrib, wholesaler), Zellstoff (Zellulose) (distrib, wholesaler)"
Druckereien,Zeitungsdruck,121,950283,Druckhaus Ulm-Oberschwaben GmbH & Co. KG,"Siemensstrasse 10, DE-89079 Ulm",Siemensstrasse,10,DE-89079,Ulm,+49 731 94590,,,Regional,,,"Bogenoffsetdruck (service), Druckerzeugnisse (producer), Druck von Zeitschriften (service), Geschäftsdrucksachen (producer), Offsetdruck (service), Rollenoffsetdruck (service), Zeitungsdruck (service)"
Druckereien,Zeitungsdruck,121,997398,Christel Margarete Sauer,"Hinter der Stadt 21, DE-64354 Reinheim",Hinter der Stadt,21,DE-64354,Reinheim,+49 6162 5678,,,National,Mitarbeiteranzahl: 1 - 4,,"Druck von Zeitschriften (service), Offsetdruck (service), Werbebeilagen für Zeitschriften und Zeitungen (producer), Zeitungsdruck (service)"
Druckereien,Zeitungsdruck,121,1723343,Wendland Verlag UG,"Am Wellsee 56, DE-24146 Kiel",Am Wellsee,56,DE-24146,Kiel,+49 431 781677,dwendl3110@aol.com,,Regional,Mitarbeiteranzahl: 1 - 4,,"Verlagsbüros (service), Zeitungsdruck (service), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,1257443,Newsprint Media GmbH,"Dreieichstrasse 3A, DE-64546 Mörfelden-Walldorf",Dreieichstrasse,3A,DE-64546,Mörfelden-Walldorf,+49 6105 40350,info@newsprint-media.com,,Weltweit,Mitarbeiteranzahl: 20 - 49,,"Druck von Zeitschriften (service), Zeitungsdruck (producer, service), Zeitungsverlage (producer, service)"
Druckereien,Zeitungsdruck,121,1072769,Schwetzinger Verlagsdruckerei GmbH,"Scheffelstrasse 55, DE-68723 Schwetzingen",Scheffelstrasse,55,DE-68723,Schwetzingen,+49 6202 8560320,,http://www.schwetzinger-verlagsdruckerei.de,Regional,"Gründungsjahr: 1949, Mitarbeiteranzahl: 50 - 99",,"Großdruckereien (service), Werbeanzeigen (service), Zeitschriftenverlage (service), Zeitungsdruck (service), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,1619394,Medien-Erleben-Verlag GmbH,"Joseph-Schneider-Strasse 1, DE-65549 Limburg",Joseph-Schneider-Strasse,1,DE-65549,Limburg,+49 6431 590970,,http://www.medienerleben-verlag.de,Regional,Mitarbeiteranzahl: 20 - 49,,"Druckerzeugnisse (service), Geschäftsdrucksachen (service), Verlage (service), Werbeanzeigen (service), Werbebeilagen für Zeitschriften und Zeitungen (service), Werbedienstleistungen (service), Zeitschriftenverlage (service), Zeitungsdruck (service), Zeitungsverlage (service)"
Druckereien,Zeitungsdruck,121,486637,Zimmermann Druck + Verlag GmbH,"Widukindplatz 2, DE-58802 Balve",Widukindplatz,2,DE-58802,Balve,+49 2375 8990,info@zimmermann-druck.de,http://www.zimmermann-druck.de,National,"Gründungsjahr: 1930, Mitarbeiteranzahl: 50 - 99",,"Digitales Drucken (service), Druckerzeugnisse (producer), Offsetdruck (service), Zeitungsdruck (service)"
